"Question: Of the initiatives applied for, which has your enterprise received?",,,,,,,,,,,,,,,,,
"Percentage of businesses either continuing to trade or who have temporarily paused or ceased trading, broken down by industry, UK, 6 April to 19 April 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Industry,Coronavirus Job Retention Scheme,Business rates holiday,Deferring VAT payments,HMRC Time To Pay scheme,Government-funded small business grant or loan schemes,Accredited finance agreements,We haven't received any that we applied for,,,,,,,,,,
Manufacturing,19.9%,7.9%,33.0%,14.7%,2.6%,1.3%,23.7%,,,,,,,,,,
"Water Supply, Sewerage, Waste Management And Remediation Activities",28.6%,4.3%,37.1%,15.7%,1.4%,4.3%,24.3%,,,,,,,,,,
Construction,29.1%,5.7%,44.3%,23.4%,2.1%,1.8%,27.0%,,,,,,,,,,
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,23.9%,33.4%,46.9%,18.3%,9.1%,1.5%,16.0%,,,,,,,,,,
Accommodation And Food Service Activities,25.1%,63.3%,59.6%,30.6%,17.8%,3.5%,12.9%,,,,,,,,,,
Transportation And Storage,28.7%,14.5%,44.0%,18.8%,2.5%,2.5%,18.4%,,,,,,,,,,
Information And Communication,15.4%,3.1%,39.7%,10.6%,1.7%,1.0%,12.7%,,,,,,,,,,
"Professional, Scientific And Technical Activities",21.6%,7.8%,51.8%,14.6%,2.2%,2.3%,17.6%,,,,,,,,,,
Administrative And Support Service Activities,28.0%,12.0%,46.9%,14.7%,14.4%,1.7%,20.6%,,,,,,,,,,
Education,9.8%,3.8%,18.4%,5.7%,*,*,22.8%,,,,,,,,,,
Human Health And Social Work Activities,8.5%,9.2%,15.5%,4.2%,7.0%,*,14.1%,,,,,,,,,,
"Arts, Entertainment And Recreation",21.9%,45.0%,43.5%,25.5%,10.8%,4.3%,17.6%,,,,,,,,,,
All Industries,22.2%,19.1%,42.7%,16.8%,7.0%,1.8%,18.9%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rounded to one decimal place,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,
"Final results, Wave 3 of ONS Business Impact of Coronavirus (COVID-19) Survey that are either continuing to trade or who have temporarily paused or ceased trading.",,,,,,,,,,,,,,,,,
"Real Estate Services, Other Services and Mining and Quarrying have been removed due to their low response rate, but their totals are included in ¡®All Industries¡¯. ",,,,,,,,,,,,,,,,,
The percentages in this chart will not sum to 100% as businesses were able to select multiple options,,,,,,,,,,,,,,,,,
"BICS asks respondents for their experience of the Government schemes at the point of completing their questionnaire, rather than for reference period 6 April to 19 April 2020, with responses collected up until 27th April. For example, though the Coronavirus Job Retention Scheme went live on 20th April, businesses could still indicate whether they had applied or received this scheme.",,,,,,,,,,,,,,,,,
* percentage less than 1%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Percentage of businesses either continuing to trade or who have temporarily paused or ceased trading, broken down by size band, UK, 6 April to 19 April 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Workforce Size,Coronavirus Job Retention Scheme,Business rates holiday,Deferring VAT payments,HMRC Time To Pay scheme,Government-funded small business grant or loan schemes,Accredited finance agreements,We haven't received any that we applied for,,,,,,,,,,
< 250,22.1%,18.6%,40.7%,16.8%,8.5%,2.3%,20.5%,,,,,,,,,,
250 +,22.4%,20.0%,46.1-%,16.8%,4.6%,1.1%,16.3%,,,,,,,,,,
All Size Bands,22.2%,19.1%,42.7%,16.8%,7.0%,1.8%,18.9%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rounded to one decimal place,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,
"Final results, Wave 3 of ONS Business Impact of Coronavirus (COVID-19) Survey that are either continuing to trade or who have temporarily paused or ceased trading.",,,,,,,,,,,,,,,,,
The percentages in this chart will not sum to 100% as businesses were able to select multiple options,,,,,,,,,,,,,,,,,
"BICS asks respondents for their experience of the Government schemes at the point of completing their questionnaire, rather than for reference period 6 April to 19 April 2020, with responses collected up until 27th April. For example, though the Coronavirus Job Retention Scheme went live on 20th April, businesses could still indicate whether they had applied or received this scheme.",,,,,,,,,,,,,,,,,
