Question: Is your enterprise intending to apply for any of the following initiatives?,,,,,,,,,,,,,,,,,
"Percentage of businesses either continuing to trade or who have temporarily paused or ceased trading, broken down by industry, UK, 6 April to 19 April 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Industry,Coronavirus Job Retention Scheme,Business rates holiday,Deferring VAT payments,HMRC Time To Pay scheme,Government-funded small business grant or loan schemes,Accredited finance agreements,None of the above,,,,,,,,,,
Manufacturing,38.3%,8.1%,16.7%,9.2%,2.8%,6.6%,48.1%,,,,,,,,,,
"Water Supply, Sewerage, Waste Management And Remediation Activities",38.6%,7.1%,22.9%,14.3%,2.9%,7.1%,45.7%,,,,,,,,,,
Construction,42.9%,3.2%,17.4%,9.6%,5.0%,11.0%,42.2+%,,,,,,,,,,
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,32.1%,9.3%,15.8%,7.6%,4.2%,8.3%,53.8%,,,,,,,,,,
Accommodation And Food Service Activities,40.4%,18.0%,23.5%,13.7%,6.1%,12.2%,39.8%,,,,,,,,,,
Transportation And Storage,35.5%,9.6%,19.9%,7.8%,2.1%,7.4%,48.9%,,,,,,,,,,
Information And Communication,26.0%,7.0%,16.3%,6.7%,2.9%,5.0%,58.7%,,,,,,,,,,
"Professional, Scientific And Technical Activities",35.0%,7.3%,22.8%,8.3%,2.3%,7.4%,50.3%,,,,,,,,,,
Administrative And Support Service Activities,40.1%,8.9%,22.7%,10.2%,6.3%,9.0%,45.0%,,,,,,,,,,
Education,45.9%,9.8%,17.4%,2.2%,*,6.6%,42.1%,,,,,,,,,,
Human Health And Social Work Activities,31.0%,4.2%,9.9%,5.6%,3.5%,1.4%,58.5%,,,,,,,,,,
"Arts, Entertainment And Recreation",41.0%,12.2%,21.2%,10.4%,5.8%,10.8%,39.2%,,,,,,,,,,
All Industries,-36.8%,9.1%,19.0%,8.8%,3.9%,8.0%,48.2%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rounded to one decimal place,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,
"Final results, Wave 3 of ONS Business Impact of Coronavirus (COVID-19) Survey that are either continuing to trade or who have temporarily paused or ceased trading.",,,,,,,,,,,,,,,,,
"Real Estate Services, Other Services and Mining and Quarrying have been removed due to their low response rate, but their totals are included in ¡®All Industries¡¯. ",,,,,,,,,,,,,,,,,
The percentages in this chart will not sum to 100% as businesses were able to select multiple options,,,,,,,,,,,,,,,,,
* percentage less than 1%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Percentage of businesses either continuing to trade or who have temporarily paused or ceased trading, broken down by size band, UK, 6 April to 19 April 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Workforce Size,Coronavirus Job Retention Scheme,Business rates holiday,Deferring VAT payments,HMRC Time To Pay scheme,Government-funded small business grant or loan schemes,Accredited finance agreements,None of the above,,,,,,,,,,
< 250,36.7%,8.9%,20.2%,9.4%,4.6%,8.5%,48.0%,,,,,,,,,,
250 +,37.0%,9.4%,16.9%,7.8%,2.7%,7.2%,48.6%,,,,,,,,,,
All Size Bands,36.8%,9.1%,19.0%,8.8%,3.9%,8.0%,48.2%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rounded to one decimal place,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,
"Final results, Wave 3 of ONS Business Impact of Coronavirus (COVID-19) Survey that are either continuing to trade or who have temporarily paused or ceased trading.",,,,,,,,,,,,,,,,,
The percentages in this chart will not sum to 100% as businesses were able to select multiple options,,,,,,,,,,,,,,,,,
