Sample for the BICS survey broken down by industry,,,,,,
,,,,,,
,Total Number of Surveys Sent Out,,,,,
Industry,Workforce Size < 250,Workforce Size 250 +,Total,,,
Mining And Quarrying,15,13,28,,,
Manufacturing,1785,1370,3155,,,
"Water Supply, Sewerage, Waste Management And Remediation Activities",130,71,201,,,
Construction,722,312,1034,,,
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,1819,1180,2999,,,
Accommodation And Food Service Activities,975,659,1634,,,
Transportation And Storage,528,335,863,,,
Information And Communication,794,422,1216,,,
Real Estate Activities,112,88,200,,,
"Professional, Scientific And Technical Activities",1303,720,2023,,,
Administrative And Support Service Activities,1287,1072,2359,,,
Education,303,457,760,,,
Human Health And Social Work Activities,145,149,294,,,
"Arts, Entertainment And Recreation",415,303,718,,,
Other Service Activities,108,29,137,,,
All Industries,10442,7181.97,17623,,,
,,,,,,
Notes,,,,,,
"Electricity, Gas, Steam And Air Conditioning Supply and Financial And Insurance Activities have been removed due to theirsample size, but their totals are included in ¡®All Industries¡¯. ",,,,,,
,,,,,,
Sample for the BICS survey broken down by workforce size,,,,,,
,,,,,,
Industry,Workforce Size 0 - 99,Workforce Size 100 - 249,Workforce Size 250 +,Total,,
All Industries,1326,9116,7181,17623.23,,
